"","Suburb","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount"
"8681","267",2,"3",405000,"3","24","51","22","60","2","1","1",121,"8",-37.7146,145.001,"4","88"
"8683","267",2,"3",431000,"3","24","51","22","60","2","1","1",139,"8",-37.7175,145,"4","88"
"8685","267",4,"1",885000,"3","294","51","22","60","4","2","2",508,"8",-37.7129,145.0047,"4","88"
"8687","267",3,"1",718500,"3","246","51","22","60","3","1","6",807,"8",-37.704,144.9864,"4","88"
"8688","267",5,"1",762500,"3","246","51","22","60","3","2","2",548,"8",-37.7099,145.0333,"4","88"
"8690","267",3,"1",737000,"3","24","51","22","60","2","3","6",957,"8",-37.7012,145.0069,"4","88"
"8698","267",3,"1",810000,"3","246","52","22","60","3","2","2",279,"8",-37.7192,144.9971,"4","88"
"8701","267",2,"1",610000,"3","246","52","22","60","3","1","2",383,"8",-37.7103,145.0037,"4","88"
"8702","267",2,"3",430000,"3","24","52","22","60","2","1","1",152,"8",-37.7173,144.9976,"4","88"
"8703","267",2,"1",730000,"8","294","52","22","60","2","1","2",637,"8",-37.7207,145.0196,"4","88"
"8704","267",4,"1",680000,"3","294","52","22","60","4","1","2",561,"8",-37.697,144.9989,"4","88"
"8705","267",3,"1",705000,"3","24","62","22","60","3","1","1",437,"8",-37.7291,145.021,"4","88"
"8706","267",3,"1",705000,"3","294","62","22","60","3","1","3",513,"8",-37.7243,144.9883,"4","88"
"8712","267",2,"3",390000,"6","204","62","22","60","2","1","1",133,"8",-37.6983,144.9998,"4","88"
"8714","268",2,"1",937000,"3","34","59","83","93","2","1","1",125,"33",-37.8106,144.994,"4","55"
"8715","268",3,"1",1260000,"3","34","59","83","93","2","1","0",203,"33",-37.8166,144.9945,"4","55"
"8717","268",3,"2",1236000,"3","171","59","83","93","3","2","1",675,"33",-37.8206,145.0003,"4","55"
"8718","268",2,"3",540000,"1","200","59","83","93","2","2","1",656,"33",-37.8195,145.0103,"4","55"
"8719","268",2,"3",795250,"3","139","59","83","93","2","1","2",0,"33",-37.8164,145.0136,"4","55"
"8720","268",2,"3",582000,"3","34","59","83","93","2","1","1",0,"33",-37.824,144.9918,"4","55"
"8721","268",1,"3",500000,"6","96","59","83","93","1","1","1",0,"33",-37.8226,145.013,"4","55"
"8722","268",3,"1",1600000,"3","139","61","83","93","3","2","1",115,"33",-37.8163,144.9984,"4","55"
"8723","268",3,"1",2180000,"1","37","61","83","93","3","2","2",345,"33",-37.8159,144.994,"4","55"
"8724","268",1,"3",370000,"3","34","61","83","93","1","1","1",502,"33",-37.8214,144.9997,"4","55"
"8729","268",4,"1",3335000,"3","171","61","83","93","4","2","2",319,"33",-37.8244,145.0044,"4","55"
"8732","268",2,"1",935000,"3","34","61","83","93","2","1","1",67,"33",-37.8159,145.0033,"4","55"
"8734","268",3,"1",1102000,"3","93","64","83","93","3","2","0",194,"33",-37.8265,145.0022,"4","55"
"8737","268",1,"3",437500,"6","34","65","83","93","1","1","1",778,"33",-37.8177,144.9972,"4","55"
"8738","268",1,"3",421000,"6","34","65","83","93","1","1","1",8223,"33",-37.8127,145.0094,"4","55"
"8739","268",2,"3",479000,"3","34","65","83","93","2","1","1",534,"33",-37.8123,145.0081,"4","55"
"8740","268",5,"1",3200000,"6","171","65","83","93","5","3","3",618,"33",-37.8157,145.0073,"4","55"
"8741","268",2,"3",479000,"3","171","65","83","93","2","1","1",0,"33",-37.8258,145.0057,"4","55"
"8743","268",2,"1",1042500,"3","139","65","83","93","2","1","1",80,"33",-37.8126,145.004,"4","55"
"8744","268",2,"3",655000,"1","139","65","83","93","2","1","1",1725,"33",-37.8174,144.9949,"4","55"
"8745","268",2,"1",1130000,"3","34","65","83","93","2","2","3",114,"33",-37.8212,145.005,"4","55"
"8746","268",2,"3",561000,"3","34","65","83","93","2","1","1",2571,"33",-37.8198,145.005,"4","55"
"8747","268",2,"3",635000,"3","34","65","83","93","2","2","1",2740,"33",-37.8231,144.9906,"4","55"
"8748","268",3,"1",1010000,"1","171","66","83","93","3","1","1",199,"33",-37.8193,144.9993,"4","55"
"8749","268",2,"1",1025000,"3","171","66","83","93","2","1","1",169,"33",-37.8235,145.0035,"4","55"
"8751","268",2,"1",1102000,"3","34","66","83","93","2","1","1",167,"33",-37.8255,145.0013,"4","55"
"8753","268",2,"3",550000,"6","171","70","83","93","2","1","2",0,"33",-37.815,145.0089,"4","55"
"8755","268",3,"1",1152500,"3","34","70","83","93","3","2","1",78,"33",-37.8154,145.0061,"4","55"
"8756","268",4,"1",1375000,"3","139","70","83","93","4","2","2",58,"33",-37.817,145.0135,"4","55"
"8757","268",3,"1",1422000,"3","139","70","83","93","3","1","0",339,"33",-37.8215,145.0102,"4","55"
"8758","268",2,"1",1506000,"3","34","71","83","93","2","2","1",220,"33",-37.8284,144.9989,"4","55"
"8759","268",3,"1",1350000,"1","274","71","83","93","3","1","2",332,"33",-37.8131,145.005,"4","55"
"8760","268",3,"1",1090000,"3","34","71","83","93","3","1","3",283,"33",-37.8127,145.0073,"4","55"
"8763","268",1,"3",405000,"1","221","71","83","93","1","1","1",7455,"33",-37.822,145.0104,"4","55"
"8765","268",1,"3",327000,"3","34","73","83","93","1","1","1",0,"33",-37.8127,145.0094,"4","55"
"8766","268",3,"1",1474000,"6","214","73","83","93","3","1","0",238,"33",-37.8167,144.9977,"4","55"
"8767","268",3,"1",1555000,"3","214","73","83","93","3","1","0",250,"33",-37.8167,144.9978,"4","55"
"8770","268",1,"3",500000,"8","171","73","83","93","1","1","1",0,"33",-37.8198,145.005,"4","55"
"8772","268",2,"3",815000,"3","171","73","83","93","2","2","2",0,"33",-37.8187,145.0079,"4","55"
"8773","268",1,"3",345000,"3","34","73","83","93","1","1","0",0,"33",-37.8211,144.9955,"4","55"
"8774","268",1,"3",345000,"1","294","76","83","93","1","1","1",8223,"33",-37.8127,145.0094,"4","55"
"8775","268",3,"1",1275000,"1","171","76","83","93","3","1","2",204,"33",-37.8285,145.0022,"4","55"
"8778","268",3,"1",1150000,"8","171","76","83","93","3","1","0",176,"33",-37.8116,145.0042,"4","55"
"8779","268",4,"1",950000,"8","171","76","83","93","4","1","0",254,"33",-37.8201,144.9898,"4","55"
"8780","268",2,"1",270000,"1","93","76","83","93","2","1","1",0,"33",-37.8231,144.9906,"4","55"
"8782","268",1,"3",439000,"6","34","4","83","93","1","1","1",3516,"33",-37.8183,144.9979,"4","55"
"8783","268",2,"3",695000,"3","171","4","83","93","2","1","2",0,"33",-37.8333,144.998,"4","55"
"8785","268",2,"3",512000,"3","214","4","83","93","2","1","1",0,"33",-37.8198,144.996,"4","55"
"8786","268",2,"2",855000,"3","171","4","83","93","2","1","1",92,"33",-37.815,145.008,"4","55"
"8787","268",2,"3",1040000,"3","171","4","83","93","3","2","2",0,"33",-37.8198,145.005,"4","55"
"8788","268",1,"3",342000,"3","171","4","83","93","1","1","1",0,"33",-37.8214,144.9896,"4","55"
"8789","268",1,"3",681000,"3","139","4","83","93","1","1","1",0,"33",-37.8231,144.9906,"4","55"
"8792","268",2,"1",900000,"1","139","5","83","93","2","1","0",95,"33",-37.8193,144.9976,"4","55"
"8793","268",3,"1",1250000,"3","34","5","83","93","3","2","1",120,"33",-37.8243,145.0034,"4","55"
"8795","268",2,"1",990000,"3","34","5","83","93","2","1","1",117,"33",-37.812,144.9939,"4","55"
"8796","268",2,"1",1189000,"3","34","5","83","93","2","1","0",158,"33",-37.8232,145.0002,"4","55"
"8799","268",2,"1",1220000,"3","34","5","83","93","2","1","1",166,"33",-37.8245,144.9933,"4","55"
"8801","268",2,"1",1220000,"3","34","5","83","93","2","1","1",80,"33",-37.8213,145.005,"4","55"
"8802","268",3,"1",1100000,"3","3","5","83","93","3","1","0",162,"33",-37.8241,145.0015,"4","55"
"8804","268",3,"1",1346000,"3","34","5","83","93","3","1","0",187,"33",-37.8169,144.996,"4","55"
"8806","268",2,"3",450000,"1","34","6","83","93","2","1","1",0,"33",-37.8173,144.9965,"4","55"
"8807","268",2,"1",1340000,"3","184","11","83","93","2","1","0",178,"33",-37.8289,144.9992,"4","55"
"8808","268",2,"1",1421000,"3","34","11","83","93","2","1","0",196,"33",-37.8254,145,"4","55"
"8809","268",3,"1",1074000,"3","214","11","83","93","3","1","0",245,"33",-37.8138,144.9921,"4","55"
"8810","268",3,"1",1205000,"3","34","11","83","93","3","1","0",164,"33",-37.8198,144.9979,"4","55"
"8811","268",2,"2",1430000,"3","171","11","83","93","2","2","2",153,"33",-37.8209,145.0055,"4","55"
"8814","268",3,"1",1465000,"3","34","11","83","93","3","2","2",233,"33",-37.8122,144.9937,"4","55"
"8815","268",2,"3",391000,"6","58","13","83","93","2","1","1",0,"33",-37.812,145.0029,"4","55"
"8816","268",2,"1",1035000,"3","171","13","83","93","2","1","0",108,"33",-37.8251,144.9959,"4","55"
"8817","268",2,"3",530000,"3","34","13","83","93","2","1","1",0,"33",-37.8236,145.009,"4","55"
"8818","268",2,"2",930000,"3","171","14","83","93","2","1","1",97,"33",-37.814,145.002,"4","55"
"8819","268",3,"1",1182000,"3","34","14","83","93","3","1","1",199,"33",-37.8139,145.0039,"4","55"
"8821","268",2,"1",777500,"1","139","14","83","93","2","1","1",151,"33",-37.8171,145.009,"4","55"
"8823","268",3,"1",1115000,"3","378","14","83","93","3","2","2",129,"33",-37.824,145.0052,"4","55"
"8824","268",3,"3",760000,"6","246","14","83","93","3","2","1",0,"33",-37.8331,144.9975,"4","55"
"8825","268",2,"3",640000,"6","171","14","83","93","2","1","2",0,"33",-37.8173,144.9965,"4","55"
"8826","268",3,"1",1710000,"1","3","14","83","93","4","2","2",202,"33",-37.8241,144.9934,"4","55"
"8827","268",3,"1",1420000,"3","171","14","83","93","3","1","0",198,"33",-37.8225,145.0007,"4","55"
"8828","268",1,"3",390000,"3","200","14","83","93","1","1","1",0,"33",-37.8195,145.0103,"4","55"
"8829","268",3,"1",3020000,"3","171","14","83","93","3","2","2",389,"33",-37.8214,144.9951,"4","55"
"8831","268",3,"1",1346000,"3","139","14","83","93","2","1","1",207,"33",-37.8215,145.0132,"4","55"
"8832","268",1,"3",380000,"1","76","17","83","93","1","1","1",0,"33",-37.8127,145.0094,"4","55"
"8834","268",2,"3",680000,"3","171","17","83","93","2","1","1",0,"33",-37.823,144.9982,"4","55"
"8835","268",2,"2",1081000,"3","139","17","83","93","2","1","1",126,"33",-37.814,145.006,"4","55"
"8839","268",2,"1",860000,"3","34","17","83","93","2","2","0",74,"33",-37.8207,145.0053,"4","55"
"8841","268",3,"1",1820000,"3","171","17","83","93","3","1","1",410,"33",-37.8292,145.0029,"4","55"
"8842","268",2,"1",905000,"3","34","17","83","93","2","1","0",139,"33",-37.8118,144.9937,"4","55"
"8843","268",2,"3",691000,"3","34","17","83","93","2","2","1",0,"33",-37.8231,144.9906,"4","55"
"8845","268",3,"1",1088000,"3","171","18","83","93","3","3","2",168,"33",-37.8126,145.0064,"4","55"
"8846","268",3,"2",911000,"3","34","18","83","93","3","2","1",0,"33",-37.8238,145.0072,"4","55"
"8847","268",4,"1",3001000,"3","34","18","83","93","2","3","1",544,"33",-37.8152,144.9922,"4","55"
"8850","268",2,"3",638000,"3","34","18","83","93","2","2","1",0,"33",-37.822,145.0104,"4","55"
"8851","268",2,"1",951000,"3","139","19","83","93","2","1","0",108,"33",-37.8259,145.0089,"4","55"
"8852","268",2,"1",912000,"3","76","19","83","93","2","1","2",204,"33",-37.821,145.0082,"4","55"
"8853","268",1,"3",415000,"3","171","19","83","93","1","1","1",0,"33",-37.8234,144.9985,"4","55"
"8855","268",3,"1",1285000,"3","139","19","83","93","4","2","1",133,"33",-37.8246,145.0012,"4","55"
"8857","268",2,"1",1220000,"3","171","19","83","93","2","1","1",219,"33",-37.8203,145.01,"4","55"
"8859","268",3,"1",900000,"3","34","24","83","93","3","3","1",58,"33",-37.8139,145.0012,"4","55"
"8861","268",3,"1",1695000,"3","214","24","83","93","3","1","3",210,"33",-37.8247,145.0001,"4","55"
"8863","268",3,"1",1365000,"3","246","24","83","93","3","1","1",301,"33",-37.8134,145.0055,"4","55"
"8864","268",2,"1",1088000,"3","34","24","83","93","2","1","0",158,"33",-37.8239,145.0045,"4","55"
"8865","268",3,"1",1765000,"3","139","24","83","93","4","1","2",332,"33",-37.8232,145.0014,"4","55"
"8868","268",2,"1",1045000,"3","34","24","83","93","2","1","2",200,"33",-37.8294,145.0029,"4","55"
"8869","268",4,"1",1591000,"3","76","24","83","93","4","2","1",263,"33",-37.8261,145.0127,"4","55"
"8870","268",1,"3",402000,"3","139","24","83","93","1","1","1",0,"33",-37.813,144.993,"4","55"
"8871","268",3,"1",1275000,"3","34","25","83","93","3","2","1",132,"33",-37.822,145.0041,"4","55"
"8872","268",2,"1",1035000,"3","214","25","83","93","2","1","0",100,"33",-37.8139,145.0042,"4","55"
"8873","268",3,"1",2000000,"8","171","25","83","93","3","2","0",194,"33",-37.8246,144.9967,"4","55"
"8874","268",3,"3",931000,"3","34","25","83","93","3","2","2",0,"33",-37.8128,145.0139,"4","55"
"8876","268",3,"1",2640000,"3","139","25","83","93","3","1","1",309,"33",-37.82,145.0054,"4","55"
"8877","268",2,"2",842000,"3","171","25","83","93","2","2","1",0,"33",-37.8145,145.0014,"4","55"
"8878","268",4,"1",1510000,"1","34","25","83","93","4","2","0",0,"33",-37.8206,145.0099,"4","55"
"8879","268",3,"1",1550000,"8","171","25","83","93","3","2","1",131,"33",-37.8132,144.9929,"4","55"
"8883","268",3,"1",1456000,"3","171","26","83","93","3","2","1",157,"33",-37.8225,145.0029,"4","55"
"8884","268",2,"1",1145000,"3","34","26","83","93","2","1","0",170,"33",-37.8226,145.0064,"4","55"
"8885","268",2,"2",810000,"6","139","26","83","93","2","1","1",94,"33",-37.8201,144.9927,"4","55"
"8887","268",3,"1",1100000,"1","34","26","83","93","3","2","1",66,"33",-37.8181,145.007,"4","55"
"8888","268",2,"1",1220000,"3","171","26","83","93","2","1","2",198,"33",-37.8244,145.0046,"4","55"
"8889","268",2,"2",895000,"3","214","26","83","93","2","1","1",0,"33",-37.8209,145.0014,"4","55"
"8890","268",2,"1",1430000,"3","34","26","83","93","2","1","2",292,"33",-37.8218,145.0089,"4","55"
"8891","268",2,"1",1045000,"3","171","26","83","93","2","1","1",138,"33",-37.8218,145.0132,"4","55"
"8893","268",3,"1",2000000,"3","34","29","83","93","3","2","1",217,"33",-37.8158,144.9931,"4","55"
"8894","268",2,"3",646000,"3","384","29","83","93","2","1","1",0,"33",-37.8333,144.998,"4","55"
"8896","268",2,"3",660000,"1","171","29","83","93","2","2","1",0,"33",-37.8166,145.0036,"4","55"
"8899","268",2,"1",1145000,"3","139","29","83","93","2","1","1",197,"33",-37.8215,145.0054,"4","55"
"8902","268",1,"3",380000,"1","93","34","83","93","1","1","1",0,"33",-37.8331,144.9975,"4","55"
"8903","268",3,"1",1285000,"3","336","34","83","93","3","2","1",123,"33",-37.8267,145.0122,"4","55"
"8905","268",4,"1",905000,"3","34","34","83","93","4","1","0",254,"33",-37.8201,144.9898,"4","55"
"8907","268",2,"3",750000,"3","34","34","83","93","2","2","1",0,"33",-37.8128,145.0133,"4","55"
"8908","268",2,"3",604000,"6","34","34","83","93","2","2","2",0,"33",-37.8189,145.0131,"4","55"
"8909","268",4,"1",1645000,"3","34","36","83","93","4","2","1",249,"33",-37.8147,145.0084,"4","55"
"8910","268",3,"3",945000,"3","34","36","83","93","3","2","1",0,"33",-37.833,144.997,"4","55"
"8911","268",1,"3",306000,"3","171","36","83","93","1","1","1",0,"33",-37.8242,145.0026,"4","55"
"8912","268",3,"1",1270000,"3","171","36","83","93","2","1","1",181,"33",-37.8203,145.0092,"4","55"
"8913","268",3,"2",975000,"1","171","36","83","93","3","1","1",383,"33",-37.8248,144.9976,"4","55"
"8914","268",2,"1",1105000,"3","34","36","83","93","2","2","1",55,"33",-37.8159,145.0033,"4","55"
"8915","268",2,"1",965000,"3","34","36","83","93","2","1","0",158,"33",-37.8201,145.007,"4","55"
"8916","268",2,"3",620000,"1","200","36","83","93","2","2","1",650,"33",-37.8195,145.0103,"4","55"
"8918","268",3,"1",1100000,"3","139","36","83","93","2","2","1",126,"33",-37.8208,145.0013,"4","55"
"8919","268",1,"3",450000,"6","315","36","83","93","1","1","1",0,"33",-37.8231,144.9906,"4","55"
"8921","268",3,"1",1850000,"3","139","36","83","93","2","2","1",203,"33",-37.8214,145.0132,"4","55"
"8923","268",3,"1",1650000,"3","139","37","83","93","3","2","1",312,"33",-37.8217,145.007,"4","55"
"8925","268",3,"1",1320000,"3","315","41","83","93","3","2","2",171,"33",-37.8166,144.9987,"4","55"
"8926","268",3,"1",1651000,"3","171","41","83","93","3","2","1",192,"33",-37.8212,144.9985,"4","55"
"8928","268",3,"1",1032000,"3","34","41","83","93","3","1","0",128,"33",-37.8198,145.0026,"4","55"
"8929","268",3,"1",915000,"3","139","41","83","93","4","3","1",140,"33",-37.8148,144.9912,"4","55"
"8932","268",3,"1",1075000,"3","171","41","83","93","3","1","0",148,"33",-37.8194,145.0024,"4","55"
"8933","268",4,"1",1800000,"1","34","41","83","93","4","2","0",288,"33",-37.8268,145.0129,"4","55"
"8935","268",3,"3",791500,"3","34","41","83","93","3","2","2",0,"33",-37.8189,145.0131,"4","55"
"8936","268",3,"1",1600000,"3","34","41","83","93","3","2","2",80,"33",-37.8233,144.9947,"4","55"
"8937","268",2,"2",1200000,"6","171","42","83","93","2","2","1",170,"33",-37.8229,144.9931,"4","55"
"8938","268",3,"1",1555000,"3","3","42","83","93","3","2","1",189,"33",-37.82,144.9987,"4","55"
"8939","268",3,"1",1361000,"3","214","42","83","93","3","2","1",99,"33",-37.8249,144.9976,"4","55"
"8940","268",3,"1",1540000,"3","139","42","83","93","3","1","1",0,"33",-37.8214,145.0119,"4","55"
"8941","268",3,"2",1582000,"3","171","42","83","93","3","3","2",119,"33",-37.8278,144.9984,"4","55"
"8943","268",2,"3",712000,"3","171","44","83","93","2","1","1",0,"33",-37.823,144.9982,"4","55"
"8944","268",3,"1",2055000,"6","171","44","83","93","3","1","1",331,"33",-37.8263,145.0085,"4","55"
"8946","268",3,"2",1012000,"3","171","48","83","93","3","2","1",80,"33",-37.8155,145.0061,"4","55"
"8947","268",3,"1",1570000,"3","171","48","83","93","3","1","2",248,"33",-37.8198,144.9899,"4","55"
"8948","268",3,"1",1345000,"3","34","48","83","93","3","1","1",209,"33",-37.8206,144.9913,"4","55"
"8949","268",1,"3",410000,"1","139","48","83","93","1","1","1",0,"33",-37.822,145.0104,"4","55"
"8950","268",2,"3",696000,"3","171","48","83","93","2","2","1",0,"33",-37.822,145.0104,"4","55"
"8951","268",3,"1",1350000,"8","171","49","83","93","3","2","2",133,"33",-37.8183,145.0079,"4","55"
"8953","268",3,"1",1405000,"3","305","49","83","93","3","1","2",212,"33",-37.8302,144.9993,"4","55"
"8954","268",1,"3",362000,"3","34","49","83","93","1","1","1",0,"33",-37.8127,145.0094,"4","55"
"8955","268",2,"3",760000,"3","34","49","83","93","2","1","1",0,"33",-37.833,144.997,"4","55"
"8956","268",2,"3",807000,"3","171","49","83","93","2","2","2",0,"33",-37.8128,145.0139,"4","55"
"8957","268",3,"1",1495000,"3","34","49","83","93","3","2","1",159,"33",-37.8195,144.9974,"4","55"
"8958","268",3,"1",1410000,"3","34","49","83","93","3","1","0",224,"33",-37.8199,145.0017,"4","55"
"8959","268",1,"3",385000,"8","315","49","83","93","1","1","1",0,"33",-37.8331,144.9975,"4","55"
"8960","268",2,"1",1150000,"6","34","49","83","93","2","1","0",156,"33",-37.8209,145.0052,"4","55"
"8961","268",3,"1",1400000,"1","139","49","83","93","3","1","2",0,"33",-37.8211,145.0114,"4","55"
"8962","268",4,"1",1775000,"3","246","49","83","93","4","1","0",434,"33",-37.8185,145.0061,"4","55"
"8963","268",1,"3",360000,"3","34","49","83","93","1","1","1",1332,"33",-37.8181,144.9901,"4","55"
"8964","268",3,"1",1270000,"3","34","49","83","93","3","1","1",152,"33",-37.8219,145.0096,"4","55"
"8965","268",2,"1",827500,"3","34","51","83","93","2","1","0",127,"33",-37.8251,145.0063,"4","55"
"8967","268",4,"1",1500000,"1","34","51","83","93","4","2","1",162,"33",-37.8252,145.0013,"4","55"
"8968","268",2,"3",560000,"6","34","51","83","93","2","2","1",0,"33",-37.8189,145.0131,"4","55"
"8970","268",3,"1",1165000,"3","34","52","83","93","3","1","1",167,"33",-37.8167,145.0098,"4","55"
"8972","268",2,"3",790000,"1","139","52","83","93","2","2","1",0,"33",-37.8198,145.005,"4","55"
"8973","268",2,"1",870000,"6","34","52","83","93","2","1","1",100,"33",-37.8136,144.9927,"4","55"
"8974","268",3,"1",1185000,"3","139","62","83","93","2","2","1",135,"33",-37.8202,145.0013,"4","55"
"8976","268",4,"1",1212500,"3","184","62","83","93","4","3","2",108,"33",-37.8129,145.0013,"4","55"
"8977","268",2,"1",1125000,"3","139","62","83","93","2","1","0",103,"33",-37.8199,144.9911,"4","55"
"8978","268",3,"1",1520000,"3","34","62","83","93","3","1","2",248,"33",-37.8185,144.9935,"4","55"
"8981","275",5,"1",1101500,"3","246","59","23","69","4","2","1",629,"2",-37.7395,145.0773,"2","167"
"8988","275",2,"1",971000,"3","234","66","23","69","3","1","1",608,"2",-37.7407,145.0612,"2","167"
"8993","275",4,"1",1020000,"1","106","71","23","69","4","2","2",843,"2",-37.7348,145.0656,"2","167"
"8994","275",3,"3",560000,"8","234","71","23","69","3","1","1",213,"2",-37.7386,145.0733,"2","167"
"8995","275",3,"1",1050000,"6","234","71","23","69","3","1","2",1016,"2",-37.7299,145.0656,"2","167"
"8998","275",3,"1",1155000,"3","234","4","23","69","3","2","1",608,"2",-37.7439,145.0688,"2","167"
"9000","275",2,"2",531000,"3","246","4","23","69","2","1","1",83,"2",-37.747,145.07,"2","167"
"9003","275",3,"1",620000,"8","234","5","23","69","3","1","0",454,"2",-37.7449,145.072,"2","167"
"9004","275",3,"1",780000,"3","24","6","23","69","3","1","2",627,"2",-37.7367,145.0797,"2","167"
"9006","275",4,"1",1051000,"6","246","11","23","69","4","2","2",651,"2",-37.7338,145.0703,"2","167"
"9007","275",5,"1",2530000,"3","234","13","23","69","5","3","1",1850,"2",-37.7465,145.0612,"2","167"
"9008","275",3,"1",720000,"6","139","13","23","69","3","1","2",604,"2",-37.7377,145.0737,"2","167"
"9010","275",2,"3",633000,"3","234","14","23","69","3","1","1",210,"2",-37.7417,145.0613,"2","167"
"9013","275",2,"1",725000,"3","46","14","23","69","2","2","2",336,"2",-37.7381,145.073,"2","167"
"9014","275",4,"1",821000,"6","246","14","23","69","3","1","2",403,"2",-37.7437,145.0633,"2","167"
"9015","275",4,"1",915000,"6","246","14","23","69","4","3","2",0,"2",-37.7449,145.0596,"2","167"
"9016","275",3,"3",600000,"3","234","14","23","69","3","2","2",169,"2",-37.7415,145.0726,"2","167"
"9017","275",4,"1",890000,"8","234","14","23","69","4","3","2",583,"2",-37.733,145.0694,"2","167"
"9020","275",6,"1",1245000,"3","246","18","23","69","3","3","4",911,"2",-37.7312,145.0635,"2","167"
"9021","275",2,"1",430000,"3","139","18","23","69","2","1","1",164,"2",-37.7362,145.079,"2","167"
"9023","275",3,"1",860000,"3","234","19","23","69","3","1","2",583,"2",-37.7346,145.0715,"2","167"
"9024","275",3,"1",1012000,"3","106","24","23","69","3","2","1",323,"2",-37.7359,145.0614,"2","167"
"9025","275",3,"1",1020000,"6","234","24","23","69","3","1","2",927,"2",-37.7342,145.0658,"2","167"
"9026","275",2,"3",635000,"1","106","25","23","69","2","1","1",203,"2",-37.7432,145.0631,"2","167"
"9027","275",2,"2",515000,"6","246","25","23","69","2","1","1",73,"2",-37.7472,145.0702,"2","167"
"9030","275",4,"1",1610000,"3","27","26","23","69","4","1","4",1613,"2",-37.7324,145.0606,"2","167"
"9031","275",2,"1",1200000,"3","234","29","23","69","2","1","1",757,"2",-37.7428,145.07,"2","167"
"9034","275",4,"1",1270000,"3","106","34","23","69","4","2","4",604,"2",-37.7435,145.0686,"2","167"
"9041","275",3,"1",515000,"3","294","41","23","69","3","2","1",606,"2",-37.7347,145.0783,"2","167"
"9042","275",3,"3",780000,"3","234","42","23","69","3","1","2",239,"2",-37.7417,145.061,"2","167"
"9043","275",3,"1",1000000,"3","24","42","23","69","3","1","1",826,"2",-37.7352,145.0714,"2","167"
"9044","275",3,"1",867000,"6","246","42","23","69","3","1","1",355,"2",-37.7352,145.0713,"2","167"
"9045","275",3,"1",945000,"3","234","44","23","69","3","1","1",625,"2",-37.7412,145.0642,"2","167"
"9049","275",2,"3",618000,"3","234","49","23","69","2","1","1",151,"2",-37.7458,145.0609,"2","167"
"9050","275",4,"1",1720000,"3","234","49","23","69","4","4","2",1215,"2",-37.7387,145.0729,"2","167"
"9053","275",3,"3",601000,"3","24","51","23","69","3","2","1",217,"2",-37.7388,145.0742,"2","167"
"9054","275",3,"1",852000,"3","246","52","23","69","3","1","1",776,"2",-37.7393,145.0685,"2","167"
"9055","275",2,"3",452000,"3","246","52","23","69","2","1","1",0,"2",-37.7458,145.0659,"2","167"
"9059","275",4,"1",1021000,"3","246","62","23","69","4","2","2",782,"2",-37.7433,145.0716,"2","167"
"9060","275",3,"2",710000,"3","46","62","23","69","3","1","1",174,"2",-37.7404,145.0648,"2","167"
"9062","275",3,"2",990000,"3","234","62","23","69","3","2","2",276,"2",-37.7336,145.0615,"2","167"
"9063","275",3,"1",908000,"3","234","62","23","69","3","1","2",692,"2",-37.7345,145.0753,"2","167"
"9064","284",3,"1",1145000,"3","48","59","187","7","3","1","1",350,"18",-37.8094,144.8869,"8","109"
"9066","284",3,"1",970000,"3","168","61","187","7","3","1","0",137,"18",-37.8078,144.8972,"8","109"
"9067","284",3,"1",1325000,"8","168","66","187","7","3","3","2",227,"18",-37.8033,144.8897,"8","109"
"9068","284",2,"3",450000,"3","364","70","187","7","2","1","2",0,"18",-37.8087,144.8978,"8","109"
"9070","284",3,"1",1330000,"3","340","73","187","7","3","3","2",168,"18",-37.8066,144.887,"8","109"
"9071","284",3,"1",1075000,"6","168","76","187","7","3","2","1",306,"18",-37.8038,144.8896,"8","109"
"9072","284",3,"1",937500,"3","364","76","187","7","2","2","2",409,"18",-37.8097,144.8987,"8","109"
"9073","284",3,"1",1350000,"1","364","76","187","7","3","3","2",227,"18",-37.8033,144.8897,"8","109"
"9075","284",4,"1",1201000,"3","364","5","187","7","4","2","1",299,"18",-37.8087,144.8952,"8","109"
"9076","284",3,"1",990000,"3","168","11","187","7","3","1","0",371,"18",-37.8066,144.8853,"8","109"
"9078","284",2,"2",720000,"6","126","14","187","7","2","1","1",126,"18",-37.8045,144.8898,"8","109"
"9080","284",2,"1",780000,"3","168","17","187","7","2","1","1",176,"18",-37.8052,144.8883,"8","109"
"9081","284",3,"1",880000,"6","168","17","187","7","3","1","0",216,"18",-37.8052,144.8941,"8","109"
"9082","284",3,"1",920000,"1","168","18","187","7","3","2","2",0,"18",-37.8057,144.8857,"8","109"
"9083","284",3,"1",1395000,"6","168","18","187","7","3","1","2",467,"18",-37.8093,144.8941,"8","109"
"9084","284",3,"1",965000,"3","168","18","187","7","3","1","0",217,"18",-37.8037,144.8874,"8","109"
"9085","284",3,"1",920000,"8","168","19","187","7","3","2","1",309,"18",-37.807,144.898,"8","109"
"9086","284",3,"1",1001000,"3","168","19","187","7","2","1","1",256,"18",-37.8086,144.8927,"8","109"
"9087","284",2,"2",755000,"6","364","19","187","7","2","2","1",97,"18",-37.8044,144.8941,"8","109"
"9088","284",3,"1",875000,"3","168","19","187","7","3","2","2",193,"18",-37.8065,144.8866,"8","109"
